name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,phone_number,secondary_filters_name,longitude,latitude,tipo_centro
Escola Josep Maria de Sagarra,Passeig de la Vall d'Hebron,64.0,28.0,Vallcarca i els Penitents,6.0,Gràcia,8023.0,932124429,Ensenyament infantil (3-6 anys),41.41930893643119,2.1398716950913936,reglat
Escola Josep Maria de Sagarra,Passeig de la Vall d'Hebron,64.0,28.0,Vallcarca i els Penitents,6.0,Gràcia,8023.0,932124429,Educació primària,41.41930893643119,2.1398716950913936,reglat
Facultat de Filosofia - UB,C Montalegre,6.0,1.0,el Raval,1.0,Ciutat Vella,8001.0,934037722,Universitats,41.38403193047776,2.167331566974877,reglat
"Centre Educatiu Jesús, Maria i Josep",C Sant Sebastià,55.0,60.0,Sant Andreu,9.0,Sant Andreu,8030.0,933112161,Ensenyament infantil (3-6 anys),41.428623982737015,2.1918794854045887,reglat
"Centre Educatiu Jesús, Maria i Josep",C Sant Sebastià,55.0,60.0,Sant Andreu,9.0,Sant Andreu,8030.0,933112161,Educació primària,41.428623982737015,2.1918794854045887,reglat
"Centre Educatiu Jesús, Maria i Josep",C Sant Sebastià,55.0,60.0,Sant Andreu,9.0,Sant Andreu,8030.0,933112161,Educació secundària,41.428623982737015,2.1918794854045887,reglat
Institut Caterina Albert,C Rogent,51.0,64.0,el Camp de l'Arpa del Clot,10.0,Sant Martí,8026.0,934351512,Educació secundària,41.4102777353725,2.1831236440038606,reglat
Escola la Farigola de Vallcarca,C Sant Camil,31.0,28.0,Vallcarca i els Penitents,6.0,Gràcia,8023.0,932138802,Ensenyament infantil (3-6 anys),41.4138319736047,2.146680968580762,reglat
Escola la Farigola de Vallcarca,C Sant Camil,31.0,28.0,Vallcarca i els Penitents,6.0,Gràcia,8023.0,932138802,Educació primària,41.4138319736047,2.146680968580762,reglat
Centre Educatiu San Nicolas,C Provença,283.0,7.0,la Dreta de l'Eixample,2.0,Eixample,8037.0,932154953,Ensenyament infantil (3-6 anys),41.396469231819495,2.163574289740056,reglat
Centre Educatiu San Nicolas,C Provença,283.0,7.0,la Dreta de l'Eixample,2.0,Eixample,8037.0,932154953,Educació primària,41.396469231819495,2.163574289740056,reglat
Centre Educatiu San Nicolas,C Provença,283.0,7.0,la Dreta de l'Eixample,2.0,Eixample,8037.0,932154953,Educació secundària,41.396469231819495,2.163574289740056,reglat
Escola La Farigola del Clot,Carrer d'Hernán Cortés,6.0,65.0,el Clot,10.0,Sant Martí,8018.0,932317665,Ensenyament infantil (3-6 anys),41.405862270546855,2.188088422236328,reglat
Escola La Farigola del Clot,Carrer d'Hernán Cortés,6.0,65.0,el Clot,10.0,Sant Martí,8018.0,932317665,Educació primària,41.405862270546855,2.188088422236328,reglat
Facultat de Química - UB,C Martí i Franquès,1.0,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,934021201,Universitats,41.38476479287836,2.117283075395298,reglat
Escola La Muntanyeta,C Montfar,24.0,14.0,la Font de la Guatlla,3.0,Sants-Montjuïc,8004.0,934230336,Ensenyament infantil (3-6 anys),41.37051047936723,2.148206192156628,reglat
Escola La Muntanyeta,C Montfar,24.0,14.0,la Font de la Guatlla,3.0,Sants-Montjuïc,8004.0,934230336,Educació primària,41.37051047936723,2.148206192156628,reglat
Centre Educatiu La Salle Barceloneta,C Balboa,18.0,3.0,la Barceloneta,1.0,Ciutat Vella,8003.0,933195475,Formació professional,41.3821988018784,2.1893006019115258,reglat
Escola La Palmera,Carrer del Concili de Trento,253.0,73.0,la Verneda i la Pau,10.0,Sant Martí,8020.0,933137006,Ensenyament infantil (3-6 anys),41.42024045881369,2.204341821626755,reglat
Escola La Palmera,Carrer del Concili de Trento,253.0,73.0,la Verneda i la Pau,10.0,Sant Martí,8020.0,933137006,Educació primària,41.42024045881369,2.204341821626755,reglat
Escola Massana Centre Municipal d'Art i Disseny,Plaça de la Gardunya,9.0,1.0,el Raval,1.0,Ciutat Vella,8001.0,934422000,Universitats,41.380953983657726,2.1708053338176225,reglat
Aula de Música,C Pujades,176.0,68.0,el Poblenou,10.0,Sant Martí,8005.0,934853699,Música,41.401133285382,2.200145848591939,reglat
Elisava Escola Universitaria de Disseny i Enginyeria de Barcelona,C la Rambla,30.0,2.0,el Barri Gòtic,1.0,Ciutat Vella,8002.0,933174715,Universitats,41.37848959636991,2.176064541270459,reglat
Centre Educatiu La Salle Horta,C Doctor Letamendi,63.0,43.0,Horta,7.0,Horta-Guinardó,8031.0,934271500,Ensenyament infantil (3-6 anys),41.43653263980817,2.1609639013656685,reglat
Centre Educatiu La Salle Horta,C Doctor Letamendi,63.0,43.0,Horta,7.0,Horta-Guinardó,8031.0,934271500,Educació primària,41.43653263980817,2.1609639013656685,reglat
Centre Educatiu La Salle Horta,C Doctor Letamendi,63.0,43.0,Horta,7.0,Horta-Guinardó,8031.0,934271500,Educació secundària,41.43653263980817,2.1609639013656685,reglat
Centre Educatiu López Vicuña,C Consell de Cent,397.0,7.0,la Dreta de l'Eixample,2.0,Eixample,8009.0,934876594,Formació professional,41.39489435492012,2.1705527267250275,reglat
Centre Educatiu Escola Pia - Luz Casanova,C Almansa,52.0,51.0,Verdun,8.0,Nou Barris,8042.0,933596181,Ensenyament infantil (3-6 anys),41.44314723594106,2.175250527458289,reglat
Centre Educatiu Escola Pia - Luz Casanova,C Almansa,52.0,51.0,Verdun,8.0,Nou Barris,8042.0,933596181,Educació primària,41.44314723594106,2.175250527458289,reglat
Centre Educatiu Escola Pia - Luz Casanova,C Almansa,52.0,51.0,Verdun,8.0,Nou Barris,8042.0,933596181,Educació secundària,41.44314723594106,2.175250527458289,reglat
Centre Educatiu Mare del Diví Pastor,C Bailèn,38.0,7.0,la Dreta de l'Eixample,2.0,Eixample,8010.0,932654291,Ensenyament infantil (0-3 anys),41.39357872583796,2.175430412133301,reglat
Centre Educatiu Mare del Diví Pastor,C Bailèn,38.0,7.0,la Dreta de l'Eixample,2.0,Eixample,8010.0,932654291,Ensenyament infantil (3-6 anys),41.39357872583796,2.175430412133301,reglat
Centre Educatiu Mare del Diví Pastor,C Bailèn,38.0,7.0,la Dreta de l'Eixample,2.0,Eixample,8010.0,932654291,Educació primària,41.39357872583796,2.175430412133301,reglat
Centre Educatiu Mare del Diví Pastor,C Bailèn,38.0,7.0,la Dreta de l'Eixample,2.0,Eixample,8010.0,932654291,Educació secundària,41.39357872583796,2.175430412133301,reglat
Facultat de Dret - UPF,Ramon Trias Fargas,25.0,67.0,la Vila Olímpica del Poblenou,10.0,Sant Martí,8005.0,935421700,Universitats,41.38924681822701,2.190983335170805,reglat
Escola Superior d'Infermeria del Mar,Pg Salvat Papasseit,5.0,3.0,la Barceloneta,1.0,Ciutat Vella,8003.0,932465873,Universitats,41.381731265825465,2.1918056817245497,reglat
Facultat d'Educació - UIC,C Terré,11.0,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,8017.0,932541825,Universitats,41.40682006692788,2.1211285739692523,reglat
Centre d'Estudis d'Art Contemporani,Av Miramar,1.0,11.0,el Poble-sec,3.0,Sants-Montjuïc,8038.0,934439470,Universitats,41.368292261821246,2.1601492925476364,reglat
Centre Educatiu Valldaura,C Santa Engràcia,110.0,52.0,la Prosperitat,8.0,Nou Barris,8016.0,933591395,Ensenyament infantil (3-6 anys),41.44224501898773,2.180028816251742,reglat
Centre Educatiu Valldaura,C Santa Engràcia,110.0,52.0,la Prosperitat,8.0,Nou Barris,8016.0,933591395,Educació primària,41.44224501898773,2.180028816251742,reglat
Centre Educatiu Valldaura,C Santa Engràcia,110.0,52.0,la Prosperitat,8.0,Nou Barris,8016.0,933591395,Educació secundària,41.44224501898773,2.180028816251742,reglat
Centre Educatiu Vedruna Gràcia Barcelona,C Gran de Gràcia,234.0,31.0,la Vila de Gràcia,6.0,Gràcia,8012.0,93 218 82 69,Ensenyament infantil (3-6 anys),41.40471777195005,2.151415793082498,reglat
Centre Educatiu Vedruna Gràcia Barcelona,C Gran de Gràcia,234.0,31.0,la Vila de Gràcia,6.0,Gràcia,8012.0,93 218 82 69,Educació primària,41.40471777195005,2.151415793082498,reglat
Centre Educatiu Vedruna Gràcia Barcelona,C Gran de Gràcia,234.0,31.0,la Vila de Gràcia,6.0,Gràcia,8012.0,93 218 82 69,Educació secundària,41.40471777195005,2.151415793082498,reglat
Conservatori Municipal de Música de Barcelona,C Bruc,110.0,7.0,la Dreta de l'Eixample,2.0,Eixample,8009.0,934584302,Música,41.39590030798757,2.1680371208078077,reglat
Centre Educatiu FEP Mare de Déu del Roser,Av Rectoret,22.0,22.0,"Vallvidrera, el Tibidabo i les Planes",5.0,Sarrià-Sant Gervasi,8017.0,934069417,Educació primària,41.42811488604095,2.092265187553753,reglat
Centre Educatiu FEP Mare de Déu del Roser,Av Rectoret,22.0,22.0,"Vallvidrera, el Tibidabo i les Planes",5.0,Sarrià-Sant Gervasi,8017.0,934069417,Educació secundària,41.42811488604095,2.092265187553753,reglat
Centre Educatiu Voramar,C Ramon Turró,130.0,68.0,el Poblenou,10.0,Sant Martí,8005.0,932251324,Ensenyament infantil (3-6 anys),41.39593332114146,2.1982237224730143,reglat
Centre Educatiu Voramar,C Ramon Turró,130.0,68.0,el Poblenou,10.0,Sant Martí,8005.0,932251324,Educació primària,41.39593332114146,2.1982237224730143,reglat
Centre Educatiu Voramar,C Ramon Turró,130.0,68.0,el Poblenou,10.0,Sant Martí,8005.0,932251324,Educació secundària,41.39593332114146,2.1982237224730143,reglat
Institut Tecnològic de Barcelona,C Aiguablava,121.0,53.0,la Trinitat Nova,8.0,Nou Barris,8033.0,937070020,Formació professional,41.45355596488746,2.1866651172065303,reglat
Granja-Escola Sinaí,C Indústria,137.0,6.0,la Sagrada Família,2.0,Eixample,8025.0,934557771,Adults,41.40931342894633,2.1732496979114297,reglat
Granja-Escola Sinaí,C Indústria,137.0,6.0,la Sagrada Família,2.0,Eixample,8025.0,934557771,Formació professional,41.40931342894633,2.1732496979114297,reglat
