district_code,district_name,income,genre,age,occupation,house_members,has_connection,has_connection_bcn,level_of_education,house_devices,longitude,latitude,educational_ocupational_index,educational_ocupational_index_district
1,Ciutat Vella,2,2,39,2,4,2,6,3,1.0,2.1663515,41.3775208,0.217117041797759,0.8158578144146168
5,Sarrià - Sant Gervasi,5,1,85,3,2,1,0,3,4.0,2.1377742,41.4102593,0.8000001634617874,0.9710576839202464
9,Sant Andreu,2,2,80,3,1,1,0,2,2.0,2.1817509,41.4257009,0.2000005654738212,0.6710875151380777
6,Gràcia,3,2,53,1,4,1,0,5,12.0,2.1396513,41.4177814,1.0,0.8773520558287237
5,Sarrià - Sant Gervasi,5,2,51,1,2,1,6,5,4.0,2.1397985,41.4124034,1.0,0.9710576839202464
4,Les Corts,4,1,59,1,3,1,0,4,8.0,2.1305122,41.3830303,1.0,0.9253424656411553
6,Gràcia,3,2,44,1,4,1,6,5,3.0,2.1600421,41.4121052,1.0,0.8773520558287237
5,Sarrià - Sant Gervasi,5,1,78,3,2,1,0,5,6.0,2.1368208,41.4068076,1.0,0.9710576839202464
6,Gràcia,3,2,49,1,4,1,6,4,9.0,2.1387436,41.4144704,1.0,0.8773520558287237
7,Horta - Guinardó,2,1,75,3,2,1,0,3,3.0,2.1693359,41.4213602,0.20000207267227563,0.7287387223780619
5,Sarrià - Sant Gervasi,5,1,72,3,2,1,0,5,7.0,2.1358102,41.4072313,1.0,0.9710576839202464
2,Eixample,3,2,77,3,1,2,0,4,1.0,2.1834579,41.4004858,1.0,0.8878823968558166
10,Sant Martí,4,1,52,1,3,1,0,5,9.0,2.1952894,41.4045331,1.0,0.7909123076143924
8,Nou Barris,1,1,63,3,2,1,1,3,6.0,2.1760682,41.4367938,4.2379323873297825e-05,0.5367971980868633
5,Sarrià - Sant Gervasi,5,1,36,1,3,1,0,5,6.0,2.1377482,41.3968661,1.0,0.9710576839202464
5,Sarrià - Sant Gervasi,5,1,42,1,2,1,6,5,6.0,2.1246472,41.3975832,1.0,0.9710576839202464
2,Eixample,3,1,45,1,1,1,6,3,3.0,2.1462597,41.3833862,0.40381930733800053,0.8878823968558166
10,Sant Martí,2,1,20,5,3,1,0,3,7.0,2.1996766,41.4137317,1.0,0.7909123076143924
2,Eixample,3,2,76,3,1,1,0,1,0.0,2.1612774,41.3773339,0.4000016153434324,0.8878823968558166
2,Eixample,3,1,64,1,2,1,0,5,6.0,2.1797152,41.4030719,1.0,0.8878823968558166
6,Gràcia,3,1,80,3,2,1,0,5,3.0,2.165555,41.4015852,1.0,0.8773520558287237
6,Gràcia,3,1,28,1,3,1,0,5,5.0,2.1569155,41.4110112,1.0,0.8773520558287237
10,Sant Martí,2,1,19,2,4,1,6,3,7.0,2.1964134,41.4190216,1.0,0.7909123076143924
8,Nou Barris,1,2,50,4,4,1,0,4,6.0,2.1829,41.445658,1.0,0.5367971980868633
6,Gràcia,3,2,54,1,2,1,0,3,5.0,2.1493223,41.4186206,0.4004025253659287,0.8773520558287237
5,Sarrià - Sant Gervasi,5,2,52,1,3,1,0,5,8.0,2.1384046,41.3937497,1.0,0.9710576839202464
5,Sarrià - Sant Gervasi,5,1,22,1,5,1,0,3,10.0,2.1363087,41.4010514,1.0,0.9710576839202464
2,Eixample,5,1,65,3,3,1,5,5,9.0,2.1757497,41.3944278,1.0,0.8878823968558166
10,Sant Martí,2,2,75,3,2,2,0,2,0.0,2.2023178,41.4220015,0.20000207267227563,0.7909123076143924
1,Ciutat Vella,2,2,83,3,2,1,0,2,4.0,2.187041,41.382109,0.2000002461409704,0.8158578144146168
2,Eixample,3,1,38,1,4,1,0,5,6.0,2.1478373,41.3794918,1.0,0.8878823968558166
