name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_zip_code,phone_number,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,longitude,latitude,estimated_dates,tipo_centro
E.F.Escuela Internacional de Idiomas,Calvet,70,26,Sant Gervasi - Galvany,8021,932020208,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39650410409416,2.141552237202456,,no_reglat
Aula de Formació de Persones Adultes Ciutat Meridiana,C Perafita,1,55,Ciutat Meridiana,8033,933594566,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.459875404545535,2.1718140471918344,,no_reglat
Barcelona Esperanto Centro,C Bassegoda,40,17,Sants - Badal,8028,933338081,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.3747294743245,2.124513773731432,,no_reglat
Escola Watford English Center,G.V. Corts Catalanes,453,9,la Nova Esquerra de l'Eixample,8015,934240683,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.37916547133707,2.15416362728272,,no_reglat
Escola Centro Humboldt,Via Augusta,18,31,la Vila de Gràcia,8006,932375111,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39712164109634,2.1548478278407006,,no_reglat
Escola Institut superior de software,C Comte Borrell,235,9,la Nova Esquerra de l'Eixample,8029,933221044,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.38665351260139,2.1501940964561803,,no_reglat
Escola Home English,Perú,164,71,Provençals del Poblenou,8020,934465200,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.41177395813674,2.200742606354104,,no_reglat
Institut d'Estudis Moderns,Gran de Sant Andreu,181,60,Sant Andreu,8030,933461216,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.43298671354778,2.1892432285331376,,no_reglat
Institut d'Estudis Moderns,Gran de Sant Andreu,181,60,Sant Andreu,8030,933461216,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.43298671354778,2.1892432285331376,,no_reglat
In Company Languages,C Viladomat,319,9,la Nova Esquerra de l'Eixample,8029,934190258,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38933449006128,2.144368845266389,,no_reglat
Àgora School of Languages,C Pedro i Pons,18,21,Pedralbes,8034,932505933,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39019665451573,2.122544463440649,,no_reglat
Centre de Formació de Persones Adultes Pegaso,C Segadors,2,60,Sant Andreu,8030,933464362,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.43698157136573,2.1922004613303185,,no_reglat
Centre Educatiu Thuya,Sant Gervasi de Cassoles,68,25,Sant Gervasi - la Bonanova,8022,932127412,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.40574103739798,2.136824035870799,,no_reglat
Centre Educatiu Thuya,Sant Gervasi de Cassoles,68,25,Sant Gervasi - la Bonanova,8022,932127412,Formació professional,Planol BCN >> Educació >> Ensenyament reglat >> Formació professional,651,41.40574103739798,2.136824035870799,,no_reglat
What’s Up! Barcelona *Av Meridiana,Avinguda Meridiana,386,60,Sant Andreu,8030,93 595 18 45,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.42971677297805,2.183811006965019,,no_reglat
Centre de Formació de Persones Adultes Rius i Taulet,Av Príncep d'Astúries,23,27,el Putxet i el Farró,8012,932371309,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.40296155638927,2.1499138529317703,,no_reglat
My English House Eixample,Carrer de Provença,29,9,la Nova Esquerra de l'Eixample,8029,611678771,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38344325990857,2.146322832654896,,no_reglat
Centre de Formació de Persones Adultes Trinitat Vella,C Madriguera,38,57,la Trinitat Vella,8033,933119357,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.44985003048387,2.1913597349769423,,no_reglat
Escola Linguarama Iberica,G.V. Carles III,98,19,les Corts,8028,933301687,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38617521617633,2.1279530224471386,,no_reglat
Centre Educatiu Prat *Roger de Llúria,C Roger de Llúria,97,7,la Dreta de l'Eixample,8009,932155852,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.39520763188711,2.1653250520227867,,no_reglat
Centre Educatiu Prat *Roger de Llúria,C Roger de Llúria,97,7,la Dreta de l'Eixample,8009,932155852,Formació professional,Planol BCN >> Educació >> Ensenyament reglat >> Formació professional,651,41.39520763188711,2.1653250520227867,,no_reglat
Centre Educatiu ISC,Carrer del Marquès de Sentmenat,37,19,les Corts,8014,934531198,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.38524440597977,2.135329930969677,,no_reglat
Escola Dublin School of English,Rda General Mitre,105,25,Sant Gervasi - la Bonanova,8022,932120020,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.40085760254281,2.1355225867547727,,no_reglat
Institut Italià de Cultura de Barcelona,Ptge Méndez Vigo,5,7,la Dreta de l'Eixample,8009,934875306,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39337744070763,2.16746808202297,,no_reglat
Centre d'Estudis Master,C Provença,463,6,la Sagrada Família,8025,934462610,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.40561426059421,2.175772601772353,,no_reglat
Centre d'Estudis Master,C Provença,463,6,la Sagrada Família,8025,934462610,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.40561426059421,2.175772601772353,,no_reglat
Barna House - Nihongo,C Roger de Llúria,123,7,la Dreta de l'Eixample,8037,934880080,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39688444414925,2.1637561619413166,,no_reglat
Granja-Escola Sinaí,C Indústria,137,6,la Sagrada Família,8025,934557771,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.40931342894633,2.1732496979114297,,no_reglat
Granja-Escola Sinaí,C Indústria,137,6,la Sagrada Família,8025,934557771,Formació professional,Planol BCN >> Educació >> Ensenyament reglat >> Formació professional,651,41.40931342894633,2.1732496979114297,,no_reglat
Escola Kids & Us *Horta-Guinardó,C Cartellà,101,44,Vilapicina i la Torre Llobeta,8031,934201132,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.42834328484675,2.169911403819713,,no_reglat
West One School,G.V. Corts Catalanes,465,9,la Nova Esquerra de l'Eixample,8015,934269790,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.37975594472982,2.1547164830124057,,no_reglat
Meca-Ràpid *Av Meridiana,Av Meridiana,326,61,la Sagrera,8027,933400358,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.4254567920414,2.187124388138771,,no_reglat
Meca-Ràpid *Av Meridiana,Av Meridiana,326,61,la Sagrera,8027,933400358,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.4254567920414,2.187124388138771,,no_reglat
Escola The Lewis School of Languages,C Sabino Arana,32,20,la Maternitat i Sant Ramon,8028,934111333,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38610881873076,2.125689037148068,,no_reglat
Escola Accent Idiomes *Mercat,C Mercat,14,60,Sant Andreu,8030,93 311 50 02,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.434762501163846,2.1889999049787665,,no_reglat
Chisholm School,Rbla Guipúscoa,11,65,el Clot,8018,932662184,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.41351462433979,2.1929231521662413,,no_reglat
Centre de Joves i Adults,Molist,17,30,la Salut,8024,932847931,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.41288142480287,2.1562372520588986,,no_reglat
Centre de Joves i Adults,Molist,17,30,la Salut,8024,932847931,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.41288142480287,2.1562372520588986,,no_reglat
Novalingua,Pl Lesseps,4,31,la Vila de Gràcia,8023,934140302,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.40622993049288,2.150145175392601,,no_reglat
